,brand,size,name,cache(M),rpm(轉),warranty(years),price
0,Toshiba,1TB,,32,7200,3,1290
1,Toshiba,1TB,,32,7200,3,1190
2,Toshiba,2TB,,64,7200,3,1988
3,Toshiba,2TB,,64,7200,3,1780
4,Toshiba,3TB,,64,7200,3,2450
5,Toshiba,3TB,,64,7200,3,1999
6,Toshiba,4TB,,128,7200,3,3480
7,Toshiba,6TB,,128,7200,3,4990
8,Seagate,500G,新梭魚,32,7200,3,1360
9,Seagate,1TB,新梭魚,64,7200,3,1350
10,Seagate,1TB,新梭魚,64,7200,3,1270
11,Seagate,2TB,新梭魚,64,7200,3,1750
12,Seagate,2TB,新梭魚,256,7200,3,1940
13,Seagate,3TB,新梭魚,256,5400,3,2790
14,Seagate,4TB,新梭魚,256,5400,3,2990
15,Seagate,4TB,新梭魚,256,5400,3,3190
16,Seagate,6TB,新梭魚,256,5400,3,5490
17,Seagate,8TB,新梭魚,256,5400,3,5380
18,Seagate,6TB,新梭魚 PRO,256,7200,5,7590
19,Seagate,8TB,新梭魚 PRO,256,7200,5,9190
20,Seagate,10TB,新梭魚 PRO,256,7200,5,11790
21,Seagate,12TB,新梭魚 PRO,256,7200,5,14890
22,Seagate,8TB,冷儲存碟,128,5900,3,7290
23,Seagate,1TB,火梭魚,64,7200,5,2090
24,Seagate,2TB,火梭魚,64,7200,5,2790
25,WD,1TB,藍標,64,7200,3,1350
26,WD,1TB,藍標,64,7200,3,1190
27,WD,2TB,藍標,64,5400,3,1849
28,WD,2TB,藍標,64,5400,3,1780
29,WD,3TB,藍標,64,5400,3,2699
30,WD,4TB,藍標,64,5400,3,3490
31,WD,6TB,藍標,64,5400,3,5890
32,WD,500G,黑標,64,7200,5,2240
33,WD,1TB,黑標,64,7200,5,2550
34,WD,1TB,黑標,64,7200,5,2490
35,WD,2TB,黑標,64,7200,5,3990
36,WD,4TB,黑標,256,7200,5,6290
37,WD,6TB,黑標,256,7200,5,8280
